EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,Gender,JobLevel,JobRole,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,WorkLifeBalance,JobInvolvement,Heure moyenne par jour sur l'annee,Nombre de jour travailles
1,51,0,2,Sales,6,2,1,1,Healthcare Representative,131160,1,11,0,1,6,1,0,0,3,2,3,06:33:16,232
2,31,1,3,Research & Development,10,1,1,1,Research Scientist,41890,0,23,1,6,3,5,1,4,3,4,2,06:58:47,236
3,32,0,3,Research & Development,17,4,0,4,Sales Executive,193280,1,15,3,5,2,5,0,3,2,1,3,06:30:10,242
4,38,0,1,Research & Development,2,5,0,3,Human Resources,83210,3,11,3,13,5,8,7,5,4,3,2,06:28:37,235
5,32,0,2,Research & Development,10,1,0,1,Sales Executive,23420,4,12,2,9,2,6,0,4,4,3,3,07:30:55,245
6,46,0,2,Research & Development,8,3,1,4,Research Director,40710,3,13,0,28,5,7,7,7,3,2,3,09:48:12,237
7,28,1,2,Research & Development,11,2,0,2,Sales Executive,58130,2,20,1,5,2,0,0,0,1,1,3,06:09:15,232
8,29,0,2,Research & Development,18,3,0,2,Sales Executive,31430,2,22,3,10,2,0,0,0,1,3,3,06:15:42,243
9,31,0,2,Research & Development,1,3,0,3,Laboratory Technician,20440,0,21,0,10,2,9,7,8,2,3,3,06:22:37,230
10,25,0,1,Research & Development,7,4,1,4,Laboratory Technician,134640,1,13,1,6,2,6,1,5,2,3,3,06:20:52,234
11,45,0,2,Research & Development,17,2,0,2,Laboratory Technician,79910,0,13,2,21,2,20,4,10,3,3,2,07:45:34,241
12,36,0,2,Research & Development,28,1,0,1,Laboratory Technician,33770,0,12,2,16,2,15,10,11,NA,3,3,06:31:38,241
13,55,0,2,Research & Development,14,4,1,1,Sales Executive,55380,0,17,0,37,2,36,4,13,4,3,3,08:09:40,229
14,47,1,1,Research & Development,1,1,0,1,Research Scientist,57620,1,11,2,10,4,10,9,9,1,2,2,08:27:49,235
15,28,0,2,Research & Development,1,3,0,1,Manufacturing Director,25920,1,14,0,5,2,5,0,4,4,2,3,05:37:23,241
16,37,0,2,Research & Development,1,3,0,2,Healthcare Representative,53460,4,11,0,7,2,5,0,1,3,4,3,06:05:19,237
17,21,0,2,Research & Development,3,2,0,1,Laboratory Technician,42130,1,12,3,3,3,3,1,0,4,4,2,05:45:24,227
18,37,0,1,Research & Development,1,3,0,2,Sales Executive,41270,2,13,1,15,2,5,0,2,1,3,3,10:22:53,246
19,35,0,2,Sales,7,4,0,1,Sales Representative,24380,7,16,0,10,5,7,6,2,2,2,2,06:11:13,232
20,38,0,2,Research & Development,8,3,1,1,Manager,68700,1,11,1,8,5,8,7,7,1,3,3,08:13:31,231
21,26,0,3,Research & Development,1,4,0,2,Laboratory Technician,104470,1,18,0,6,3,6,1,4,3,1,3,06:44:50,232
22,50,0,2,Sales,8,4,0,1,Research Scientist,96670,3,23,0,28,2,10,1,6,1,2,2,05:21:50,233
23,53,0,2,Research & Development,11,4,1,2,Research Scientist,21480,3,11,0,21,2,5,1,3,3,2,3,07:28:07,232
24,42,0,2,Research & Development,4,4,0,1,Manufacturing Director,89260,1,14,0,NA,4,20,11,6,2,3,1,06:18:41,242
25,29,0,3,Research & Development,16,4,0,1,Laboratory Technician,65130,1,11,1,10,2,10,0,9,2,2,3,06:16:40,231
26,55,0,2,Research & Development,1,4,1,1,Research Scientist,67990,3,11,0,12,2,10,0,8,2,3,3,08:38:41,241
27,26,0,3,Research & Development,9,3,1,1,Manager,162910,1,22,0,5,3,5,3,3,1,3,3,10:03:07,239
28,37,0,2,Sales,5,1,0,1,Research Scientist,27050,1,11,0,17,2,17,5,7,4,3,3,06:52:34,236
29,44,1,3,Research & Development,1,2,0,2,Research Scientist,103330,3,14,1,19,2,1,0,0,4,1,2,10:13:14,243
30,38,0,2,Sales,2,3,1,1,Manager,44480,9,12,0,10,3,2,1,2,4,3,2,06:01:12,230
31,26,1,2,Research & Development,4,3,0,3,Research Scientist,68540,2,11,0,5,5,3,0,2,1,3,2,09:13:07,238
32,28,0,2,Research & Development,7,3,0,1,Human Resources,96370,1,13,0,5,6,5,0,2,4,3,2,06:13:16,242
33,49,0,3,Research & Development,1,1,1,2,Research Scientist,35910,9,13,0,22,2,3,1,2,3,3,3,09:25:48,234
34,36,0,2,Sales,5,3,0,3,Sales Executive,54050,4,14,0,10,2,8,7,7,3,3,3,05:45:23,243
35,31,0,3,Research & Development,9,4,0,1,Sales Executive,46840,1,16,1,2,4,2,2,2,4,2,3,06:03:23,240
36,26,1,2,Research & Development,8,3,0,2,Manager,157870,1,12,2,8,5,8,7,4,4,3,3,09:07:51,232
37,37,0,3,Sales,9,1,0,1,Laboratory Technician,15140,1,14,0,4,3,4,1,2,2,2,3,09:15:22,242
38,42,0,3,Sales,2,2,0,3,Research Director,29560,5,13,0,23,2,20,4,8,3,4,3,05:16:10,230
39,18,1,2,Research & Development,1,4,0,1,Sales Executive,23350,1,14,2,0,3,0,0,0,3,3,2,05:53:36,227
40,35,0,2,Sales,20,2,0,1,Laboratory Technician,51540,0,19,0,12,2,11,6,9,3,2,2,07:02:31,239
41,36,0,3,Research & Development,8,3,1,3,Sales Executive,69620,4,12,2,4,2,1,0,0,3,3,2,06:44:08,244
42,51,0,2,Research & Development,2,3,0,2,Laboratory Technician,56750,5,13,0,13,2,4,1,2,4,3,2,06:50:18,235
43,41,0,2,Research & Development,29,1,0,1,Laboratory Technician,23790,1,12,0,22,6,22,0,4,4,3,3,06:26:47,242
44,18,0,2,Sales,7,3,0,1,Research Scientist,38120,1,15,0,0,3,0,0,0,4,3,3,06:26:42,240
45,28,0,2,Research & Development,9,3,0,1,Sales Representative,46480,0,23,2,9,2,8,0,7,2,3,2,06:43:57,244
46,31,0,2,Research & Development,8,1,0,1,Manufacturing Director,29360,4,12,1,10,2,8,7,7,2,2,3,06:35:45,240
47,39,0,2,Sales,5,4,1,2,Human Resources,21050,0,20,0,19,3,18,3,7,3,2,3,06:52:34,235
48,36,0,1,Research & Development,5,4,0,1,Sales Executive,85780,7,21,0,11,4,9,0,8,2,3,3,07:06:45,237
49,32,0,2,Sales,2,3,0,2,Laboratory Technician,27060,1,21,1,13,4,13,4,8,4,2,3,06:03:58,227
50,38,0,2,Research & Development,5,2,1,3,Research Scientist,63840,3,19,2,19,4,10,0,1,1,3,2,06:02:00,228
51,58,0,1,Research & Development,2,3,0,2,Manufacturing Director,39680,2,13,2,12,3,5,1,2,4,3,2,10:06:08,242
52,31,0,2,Research & Development,20,1,1,3,Research Scientist,99070,0,13,1,6,3,5,0,3,3,3,2,08:17:11,237
53,31,0,2,Sales,7,4,0,2,Sales Executive,132250,3,21,1,9,2,2,1,0,1,3,3,06:15:20,239
54,45,0,3,Research & Development,3,1,1,1,Sales Executive,35400,1,13,0,24,6,24,9,11,1,3,3,06:36:55,236
55,31,0,2,Sales,16,4,1,2,Research Scientist,28040,0,19,2,3,0,2,2,2,3,1,3,08:03:00,244
56,33,0,3,Research & Development,9,3,0,4,Research Director,193920,6,12,1,12,3,10,8,8,4,3,3,06:09:39,237
57,39,0,2,Sales,1,4,0,1,Sales Executive,196650,1,22,1,21,6,21,11,10,3,3,3,10:18:45,245
58,43,0,3,Research & Development,7,4,0,4,Research Scientist,24390,0,15,0,9,2,8,1,7,3,3,3,06:41:07,227
59,49,0,2,Research & Development,1,3,0,3,Manufacturing Director,73140,7,22,0,25,2,7,0,7,3,3,3,09:15:46,243
60,52,1,2,Research & Development,7,1,1,2,Research Scientist,47740,2,18,1,11,2,8,7,7,3,2,3,07:14:21,239
61,27,0,2,Research & Development,15,4,0,3,Research Scientist,39020,1,22,0,4,2,4,1,2,3,2,3,09:58:38,244
62,32,0,2,Research & Development,1,3,0,3,Research Scientist,26620,1,11,1,13,6,13,11,9,3,3,4,09:36:41,239
63,27,0,2,Research & Development,13,2,1,4,Research Director,28560,1,12,2,5,5,5,0,4,4,3,4,08:54:43,231
64,31,0,2,Sales,24,3,0,2,Healthcare Representative,10810,4,11,3,13,4,7,1,7,4,3,4,06:09:05,243
65,32,0,2,Research & Development,7,3,0,2,Healthcare Representative,24720,7,13,0,10,2,7,0,7,1,2,3,06:48:30,237
66,28,1,2,Research & Development,9,4,0,1,Sales Executive,56730,5,14,1,5,4,3,2,2,1,2,2,10:09:07,247
67,30,0,2,Research & Development,13,3,1,4,Research Director,41970,1,13,0,11,3,10,1,9,4,3,3,05:29:51,232
68,31,0,3,Research & Development,2,1,1,1,Manager,97130,1,17,0,10,5,10,8,9,3,3,2,05:44:54,227
69,39,0,3,Research & Development,19,4,1,1,Research Scientist,20620,1,13,0,21,4,21,13,3,3,3,3,05:18:29,228
70,39,1,2,Research & Development,1,1,1,1,Laboratory Technician,42840,4,17,1,12,0,1,0,0,4,2,3,09:23:55,246
71,33,0,3,Sales,4,2,0,4,Research Scientist,47880,3,11,1,9,0,7,0,1,2,2,3,06:52:52,242
72,47,0,2,Research & Development,4,3,1,2,Healthcare Representative,59060,4,23,0,21,4,3,1,1,4,3,4,06:02:45,243
73,43,0,3,Research & Development,14,3,1,5,Research Director,38860,1,17,2,9,2,9,0,0,3,4,3,05:40:19,235
74,27,0,1,Research & Development,2,3,0,1,Research Director,168230,0,17,0,6,3,5,1,4,3,3,3,08:14:46,231
75,54,0,3,Research & Development,1,4,0,2,Research Scientist,29330,3,12,2,20,2,4,0,3,4,2,3,05:25:13,232
